Title,Director,Year,Description
30 Days of Night,David Slade,2007,"A small town in Alaska experiences a solid month of darkness every year. When the residents decide to stay behind, they are targeted by hungry vampires."
Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,2012,"After his mother is killed by a vampire, Abraham Lincoln dedicates his life to hunting them down."
Blade,Stephen Norrington,1998,"A half-mortal, half-vampire warrior fights to rid the world of vampires."
Blade II,Guillermo del Toro,2002,Blade must team up with vampires to defeat a new type of monster that threatens both races.
Blade: Trinity,David S. Goyer,2004,Blade is framed for murders and must fight against humans and vampires.
Blood: The Last Vampire,Hiroyuki Kitakubo,2000,"A half-human, half-vampire swordfighter works for a secret government agency that destroys demons."
Blood: The Last Vampire,Chris Nahon,2009,A seemingly ordinary teenager is a 400-year-old vampire slayer who hunts evil vampires.
Bordello of Blood/ Demon Knight,"Gilbert Adler, Ernest Dickerson","1996, 1995",Two tales from the Crypt featuring a vampire and a man who guards a key that can unlock evil.
Buffy the Vampire Slayer,Fran Rubel Kuzui,1992,A teenager is trained to fight vampires.
Byzantium,Neil Jordan,2013,Two female vampires on the run take refuge at a seaside British community.
Captain Kronos - Vampire Hunter,Brian Clemens,1974,A supernatural expert and his assistant battle vampires in a village.
Count Dracula,Jesús Franco,1970,Count Dracula gets younger whenever he drinks the blood of young maidens.
Dark Shadows,Tim Burton,2012,"A rich and powerful playboy is turned into a vampire and buried alive. Two centuries later, he escapes."
Daybreakers,"Michael Spierig, Peter Spierig",2009,"Ten years after a plague turns most of the world's population into vampires, a vampire hematologist searches for a cure."
Dracula,Francis Ford Coppola,1992,Count Dracula is condemned to live off the blood of the living for eternity. He travels to London to find a woman who looks like his dead wife.
Dracula 2000,Patrick Lussier,2000,"Van Helsing relies on Dracula's blood to stay alive. When thieves steal Dracula's coffin, Van Helsing sets out to defeat him."
Dracula Untold,Gary Shore,2014,A just ruler makes a deal with a monster to protect his country from the Ottoman Empire but becomes a vampire.
Dracula: Pages From A Virgin's Diary,Guy Maddin,2002,A ballet version of Bram Stoker's classic vampire tale.
Freaks of Nature,Robbie Pickering,2015,"Vampires, humans and zombies fight against each other."
Fright Night,Tom Holland,1985,A teenager convinced his neighbor is a vampire turns to a washed-up television vampire killer for help.
Fright Night,Craig Gillespie,2011,A high school senior believes his new neighbor is a vampire.
From Dusk Till Dawn,Robert Rodriguez,1996,"On the run from a bank robbery, two criminals and their hostages end up in a topless bar that is home to vampires."
A Girl Walks Home Alone At Night,Ana Lily Amirpour,2014,A skateboarding vampire preys on men who disrespect women.
innocent Blood,John Landis,1992,A vampire with a conscience only sucks the blood of criminals. She joins forces with an undercover cop to stop a takeover of the city by blood-sucking gangsters.
Interview With The Vampire,Neil Jordan,1994,A suicidal vampire tells his story to an eager biographer.
Jesus Christ Vampire Hunter,Lee Demarbre,2001,Jesus Christ uses kung fu to wipe out a horde of bloodsuckers who attack lesbians.
Kiss of the Damned,Alexandra Cassavetes,2012,A young screenwriter falls for a beautiful vampire but her cruel sister threatens to destroy their relationship
